Date,Price,Open,High,Low,Change %
07-Oct-19,31152000,30989000,31350000,30750000,-0.06%
04-Oct-19,31699000,31177000,31800000,30996000,0.11%
03-Oct-19,31891000,31699000,31999000,31539000,0.06%
02-Oct-19,32050000,31923000,32386000,31350000,0.25%
01-Oct-19,32182000,32050000,32280000,31900000,0.29%
30-Sep-19,32042000,32183000,32223000,31751000,-0.36%
27-Sep-19,32010000,32042000,32138000,31300000,0.16%
26-Sep-19,32014000,32019000,32085000,31548000,-0.19%
25-Sep-19,32042000,32005000,32200000,31899000,-0.70%
24-Sep-19,32308000,32037000,32495000,31819000,0.25%
23-Sep-19,32174000,32308000,32373000,32077000,-0.23%
20-Sep-19,32358000,32174000,32448000,31970000,-0.21%
19-Sep-19,32117000,32366000,32599000,32016000,0.10%
18-Sep-19,32141000,32117000,32267000,31800000,-0.39%
17-Sep-19,32296000,32141000,32341000,32008000,0.65%
16-Sep-19,32334000,32295000,32499000,31920000,-0.66%
13-Sep-19,32928000,32335000,32976000,32285000,0.11%
12-Sep-19,32873000,32928000,32998000,32650000,0.48%
11-Sep-19,34960000,32873000,35001000,32863000,-0.30%
10-Sep-19,36325000,34955000,36600000,34941000,-0.05%
09-Sep-19,35700000,36304000,36340000,33907000,0.17%
06-Sep-19,36451000,35700000,36964000,35500000,-0.05%
05-Sep-19,38873000,36423000,39453000,36392000,0.00%
04-Sep-19,38850000,38924000,39036000,37850000,0.56%
03-Sep-19,37677000,38850000,39085000,36425000,0.05%
02-Sep-19,36958000,37657000,38050000,36296000,-0.21%
30-Aug-19,37537000,36955000,38068000,36907000,-0.60%
29-Aug-19,38221000,37537000,38230000,36500000,-0.19%
28-Aug-19,36965000,38219000,38476000,36687000,-0.12%
27-Aug-19,35596000,36965000,37350000,33000000,-0.10%
26-Aug-19,36155000,35590000,36690000,35000000,-0.38%
23-Aug-19,35988000,36155000,36318000,34950000,0.59%
22-Aug-19,36460000,35990000,36560000,35353000,-0.05%
21-Aug-19,35500000,36478000,37379000,35500000,-0.14%
20-Aug-19,35083000,35500000,35896000,34357000,0.20%
19-Aug-19,36150000,35085000,36505000,35033000,-0.11%
16-Aug-19,36222000,36151000,36652000,35520000,-0.15%
15-Aug-19,37857000,36222000,38399000,36030000,-0.29%
14-Aug-19,38093000,37857000,38590000,37425000,-0.29%
13-Aug-19,38370000,38107000,38438000,37380000,-0.38%
12-Aug-19,38910000,38377000,39910000,38333000,0.12%
09-Aug-19,39000000,38910000,39450000,38003000,0.18%
08-Aug-19,38547000,39000000,39062000,38291000,-0.17%
07-Aug-19,38883000,38530000,39450000,38530000,-0.01%
06-Aug-19,40762000,38883000,41000000,38749000,-0.02%
05-Aug-19,41962000,40764000,42372000,40250000,0.84%
02-Aug-19,41436000,41958000,42354000,41333000,0.22%
01-Aug-19,42277000,41436000,42366000,40518000,0.08%
31-Jul-19,43572000,42277000,43599000,42244000,-0.71%
30-Jul-19,43975000,43559000,44709000,41799000,0.10%
29-Jul-19,44698000,43975000,44990000,43238000,0.15%
26-Jul-19,44113000,44698000,45000000,42271000,-0.18%
25-Jul-19,44514000,44119000,44998000,43580000,0.05%
24-Jul-19,47229000,44514000,47500000,44001000,-0.11%
23-Jul-19,47350000,47229000,48550000,47000000,-0.51%
22-Jul-19,47152000,47366000,47819000,46600000,-0.11%
19-Jul-19,47215000,47148000,47850000,45600000,-0.49%
18-Jul-19,46636000,47201000,47650000,46254000,0.47%
17-Jul-19,46340000,46636000,46890000,45171000,0.12%
16-Jul-19,46735000,46341000,47575000,46038000,-0.42%
15-Jul-19,46297000,46733000,47360000,46250000,-0.12%
12-Jul-19,46316000,46298000,46737000,45742000,0.15%
11-Jul-19,45718000,46316000,46456000,45391000,0.03%
10-Jul-19,46258000,45716000,47000000,45715000,0.38%
09-Jul-19,46599000,46278000,46894000,46050000,-0.06%
08-Jul-19,44449000,46599000,46747000,43755000,-0.10%
05-Jul-19,44732000,44444000,45665000,43802000,-0.52%
04-Jul-19,41970000,44732000,44981000,41600000,0.06%
03-Jul-19,43404000,41954000,44597000,39500000,-0.06%
02-Jul-19,39417000,43400000,43570000,36727000,0.00%
01-Jul-19,38495000,39403000,40381000,37000000,-0.75%
28-Jun-19,38764000,38513000,40825000,38275000,0.00%
27-Jun-19,36087000,38770000,39499000,36009000,0.01%
26-Jun-19,36297000,36085000,37807000,35010000,0.02%
25-Jun-19,40094000,36326000,40700000,35444000,-0.27%
